4.000000e+000 1.517176e-001
7.000000e+000 2.199993e-003
1.000000e+001 2.144047e-003
1.300000e+001 6.940428e-004
1.600000e+001 2.872912e-004
1.900000e+001 1.393415e-004
2.200000e+001 7.547270e-005
2.500000e+001 4.433973e-005
2.800000e+001 2.772353e-005
3.100000e+001 1.820935e-005
3.400000e+001 1.244732e-005
3.700000e+001 8.794061e-006
4.000000e+001 6.387772e-006
4.300000e+001 4.750902e-006
4.600000e+001 3.606256e-006
4.900000e+001 2.786447e-006
5.200000e+001 2.186883e-006
5.500000e+001 1.740231e-006
5.800000e+001 1.401996e-006
6.100000e+001 1.142079e-006
6.400000e+001 9.396928e-007
6.700000e+001 7.802131e-007
7.000000e+001 6.531731e-007
7.300000e+001 5.509674e-007
7.600000e+001 4.679920e-007
7.900000e+001 4.000641e-007
8.200000e+001 3.440248e-007
8.500000e+001 2.974625e-007
8.800000e+001 2.585174e-007
9.100000e+001 2.257421e-007
